"Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals_Added","Base_Salary","Guaranteed_Compensation","Log_Goals_Added"
"Tate Schmitt","RSL",2022,"FB",950,-0.3,-0.28,-0.01,-0.18,-0.04,-0.09,-0.9,92500,92500,0.547774705387823
"Artur","CLB",2022,"DM",1813,-0.54,0.03,0.29,-0.53,-0.32,0.17,-0.91,564000,615633,0.546542663478131
"Marcelo Silva","RSL",2022,"CB",3049,0.21,-0.28,-0.17,-0.76,-0.15,0.21,-0.94,6e+05,646667,0.54282542695918
"Aké Arnaud Loba","NSH",2022,"ST",421,-0.35,-0.03,-0.1,-0.36,0.04,-0.14,-0.95,1250000,1491480,0.541579243946581
"Quinn McNeill","CLT",2022,"CM",709,-0.18,0.03,-0.23,-0.33,-0.15,-0.1,-0.95,65500,65500,0.541579243946581
"Jeremy Ebobisse","SJE",2022,"ST",3174,-1.21,-0.02,-0.6,-0.39,1.01,0.25,-0.97,620734,766617,0.539076098792777
"Caleb Wiley","ATL",2022,"FB",1631,-0.12,-0.27,0.52,-0.83,-0.09,-0.19,-0.98,65500,67100,0.537819095073274
"Eric Miller","NSH",2022,"FB",1489,-0.19,0.08,0.08,-0.37,-0.37,-0.22,-0.99,168000,168000,0.53655844257153
"Jairo Torres","CHI",2022,"W",770,-0.26,0.03,-0.14,-0.42,-0.21,0,-0.99,849996,1219330,0.53655844257153
"Geoff Cameron","CIN",2022,"CB",2294,-0.11,-0.16,-0.29,-0.27,-0.13,-0.05,-1,387000,469000,0.53529412004277
"Ronaldo Cisneros","ATL",2022,"ST",1867,-0.44,0.04,-0.22,-1.21,0.74,0.09,-1,244000,244000,0.53529412004277
"Mender García","MIN",2022,"W",573,-0.54,-0.07,-0.08,-0.54,0.35,-0.13,-1,3e+05,322313,0.53529412004277
"Samuel Grandsir","LAG",2022,"W",1787,-0.05,0.24,-0.24,-0.92,-0.08,0.05,-1.01,9e+05,988427,0.534026106056135
"Benji Michel","ORL",2022,"W",1676,-0.73,0.38,-0.13,-0.47,0.19,-0.25,-1.01,115000,121303,0.534026106056135
"Benjamin Bender","CLT",2022,"CM",1792,-0.72,-0.12,-0.03,-0.32,0.17,0.01,-1.02,65500,83000,0.532754378992498
"Alex Roldan","SEA",2022,"FB",2851,-0.23,0.14,-0.53,-0.15,-0.11,-0.17,-1.04,2e+05,232500,0.530199698203082
"Milos Degenek","CLB",2022,"CB",2499,0.13,-0.32,-0.43,0.04,-0.37,-0.1,-1.05,715000,812000,0.528916700277655
"Nouhou Tolo","SEA",2022,"FB",2748,-0.15,-0.39,0.95,-1.49,0.04,-0.01,-1.05,3e+05,344274,0.528916700277655
"Jasper Löeffelsend","RSL",2022,"CM",1769,0.02,-0.14,0.28,-0.6,-0.43,-0.21,-1.07,84000,84000,0.526339277389844
"Thiago Martins","NYC",2022,"CB",2364,-0.03,0.17,-0.6,-0.24,-0.33,-0.07,-1.09,1.5e+06,1962000,0.523746466811564
"Anton Walkes","CLT",2022,"CB",2005,0.09,0.19,-0.43,0.07,-0.77,-0.24,-1.09,325000,353594,0.523746466811564
"Sean Nealis","NYRB",2022,"CB",3276,-0.07,0.45,-1.05,-0.87,0.3,0.13,-1.09,175000,196875,0.523746466811564
"Samuel Piette","MTL",2022,"CM",1658,-0.16,-0.35,-0.35,0.74,-0.55,-0.43,-1.1,4e+05,429750,0.52244423350632
"Judson","SJE",2022,"DM",718,-0.52,-0.04,-0.12,-0.07,-0.24,-0.12,-1.11,420000,425000,0.521138083704036
"Ruan","ORL",2022,"FB",2658,-0.08,0.03,0.22,-1.68,0.45,-0.06,-1.12,360000,360000,0.519827993775719
"Justin Rennicks","NER",2022,"ST",834,-0.52,0.23,-0.07,-0.54,-0.01,-0.21,-1.12,110000,120000,0.519827993775719
"Oriol Rosell","SKC",2022,"DM",1004,-0.33,-0.25,0.05,-0.38,-0.08,-0.15,-1.13,475000,475000,0.518513939877887
"Lucas Zelarayán","CLB",2022,"AM",2550,-0.88,0.31,-0.09,0.39,-1.01,0.12,-1.16,3.1e+06,3.7e+06,0.514547752660286
"Rubio Rubín","RSL",2022,"ST",975,0.1,-0.13,-0.17,0.05,-0.73,-0.29,-1.17,510000,582937,0.513217600067939
"Jordy Alcívar","CLT",2022,"CM",1123,0.01,-0.04,-0.09,-0.17,-0.67,-0.22,-1.18,235000,325600,0.511883360978874
"Brandt Bronico","CLT",2022,"DM",3097,-0.17,-0.39,0.51,-0.76,-0.19,-0.2,-1.19,125000,134330,0.510545010206612
"José Andrés Martínez","PHI",2022,"DM",2777,-0.52,-0.2,0.44,-0.32,-0.51,-0.08,-1.19,250000,276250,0.510545010206612
"Ercan Kara","ORL",2022,"ST",1929,-1.06,-0.13,0.09,-0.29,0.3,-0.12,-1.2,1860000,1860000,0.509202522331103
"C.J. Sapong","NSH",2022,"ST",2653,-0.45,0.35,-0.09,0.49,-1.01,-0.5,-1.22,550000,550000,0.506505032404872
"Alex Muyl","NSH",2022,"FB",2208,-0.02,-0.14,-0.83,-1.39,0.92,0.24,-1.23,325000,331562,0.505149978319906
"Jaroslaw Niezgoda","POR",2022,"ST",2156,-0.82,-0.02,-0.02,0.33,-0.25,-0.44,-1.23,807500,976758,0.505149978319906
"Andrés Perea","ORL",2022,"DM",949,-0.22,-0.32,0.17,-0.61,-0.15,-0.11,-1.24,240000,248500,0.503790683057181
"Franco Ibarra","ATL",2022,"DM",1075,-0.21,0.07,-0.26,-0.31,-0.31,-0.22,-1.24,450000,520000,0.503790683057181
"Martín Rodríguez","DCU",2022,"W",964,-0.11,-0.03,-0.03,-0.04,-0.64,-0.39,-1.25,456000,597200,0.502427119984433
"Joseph Mora","CLT",2022,"FB",1889,-0.22,0.09,-0.35,-0.18,-0.39,-0.21,-1.25,2e+05,2e+05,0.502427119984433
"Carlos Salcedo","TOR",2022,"CB",1316,0.03,0.09,-1.5,0.51,-0.28,-0.11,-1.26,2.2e+06,2351000,0.501059262217751
"Bryce Duke","MIA",2022,"AM",1642,-0.71,-0.15,0.26,-0.35,-0.06,-0.25,-1.26,122000,122000,0.501059262217751
"Felipe Hernandez","SKC",2022,"CM",1959,-0.14,0.16,-0.45,-0.62,-0.36,0.11,-1.29,85444,119153,0.496929648073215
"Tah Brian Anunga","NSH",2022,"CM",959,-0.15,-0.31,0.26,-0.65,-0.29,-0.19,-1.33,156000,176000,0.491361693834273
"Wil Trapp","MIN",2022,"DM",2288,-0.13,-0.53,-0.09,0.28,-0.63,-0.31,-1.41,784875,784875,0.480006942957151
"Cristian Espinoza","SJE",2022,"W",3054,-0.81,0.02,-0.14,-0.27,-0.27,0,-1.46,1150000,1265000,0.472756449317212
"Ayo Akinola","TOR",2022,"ST",1365,-0.62,0.28,0.11,-0.51,-0.48,-0.25,-1.47,6e+05,671875,0.471291711058939
"Jozy Altidore","NER",2022,"ST",676,-0.25,-0.04,-0.31,-0.71,-0.1,-0.08,-1.5,3706140,4264960,0.466867620354109
"Jesús Jiménez","TOR",2022,"ST",2608,-0.31,-0.07,0.02,-0.31,-0.36,-0.47,-1.5,815000,934927,0.466867620354109
"José Van Rankin","POR",2022,"FB",2087,0.04,0.07,-0.66,-0.87,-0.15,0.06,-1.51,85000,85000,0.465382851448418
"Sebastien Ibeagha","LAFC",2022,"CB",1324,-0.22,-0.22,-0.53,-0.26,-0.17,-0.14,-1.55,225000,252125,0.459392487759231
"Chris Durkin","DCU",2022,"CM",2475,-0.32,0.09,-0.59,0,-0.46,-0.28,-1.55,4e+05,445000,0.459392487759231
"Michael Estrada","DCU",2022,"ST",953,-0.24,-0.11,-0.31,0.06,-0.63,-0.33,-1.56,3e+05,425700,0.457881896733992
"Edwin Cerrillo","FCD",2022,"DM",2114,-0.04,-0.26,-0.02,-0.42,-0.56,-0.29,-1.6,130000,145000,0.45178643552429
"Owen Wolff","ATX",2022,"W",1029,-0.4,-0.06,-0.29,-0.27,-0.31,-0.28,-1.6,65500,78553,0.45178643552429
"Corey Baird","HOU",2022,"W",1466,-0.71,-0.13,-0.09,-0.11,-0.26,-0.34,-1.64,440000,471031,0.445604203273598
"Sofiane Djeffal","DCU",2022,"CM",1857,-0.06,-0.06,-0.11,-0.32,-0.84,-0.24,-1.64,65500,65500,0.445604203273598
"Jonathan Bornstein","CHI",2022,"FB",1330,-0.45,0,-0.56,-0.11,-0.33,-0.2,-1.65,3e+05,330000,0.444044795918076
"Stanislav Ivanov","CHI",2022,"W",940,-0.35,-0.1,-0.19,-0.67,-0.25,-0.12,-1.67,3e+05,359000,0.440909082065218
"Alfredo Morales","NYC",2022,"DM",2141,-0.14,0.03,-1.09,-0.24,-0.14,-0.14,-1.72,6e+05,662250,0.432969290874406
"Sebastian Lletget","NER, FCD",2022,"CM",2424,-0.62,-0.12,-0.57,-0.96,0.41,0.12,-1.74,9e+05,1023750,0.429752280002408
"Jackson Hopkins","DCU",2022,"W",1009,-0.25,-0.15,-0.59,-0.13,-0.43,-0.2,-1.76,65500,65833,0.426511261364575
"Florian Jungwirth","VAN",2022,"CB",938,-0.03,0.06,-1,-0.4,-0.27,-0.18,-1.82,550000,592667,0.416640507338281
"Sean Davis","NSH",2022,"CM",3085,-0.34,0.01,0.65,-0.83,-0.88,-0.46,-1.85,637500,637500,0.41161970596323
"Luca Petrasso","TOR",2022,"FB",1893,0.02,0.02,-0.02,-1.26,-0.48,-0.18,-1.89,65500,70012,0.404833716619938
"Kemar Lawrence","MIN",2022,"FB",2506,-0.84,0.13,-0.25,-0.63,-0.2,-0.11,-1.9,4e+05,482500,0.403120521175818
"Jake Mulraney","ORL, ATL",2022,"W",1031,-0.04,-0.1,-0.59,-0.67,-0.36,-0.13,-1.9,301600,338777,0.403120521175818
"Bryan Acosta","COL",2022,"DM",2084,-0.23,-0.43,-0.26,0,-0.59,-0.4,-1.92,650000,706667,0.399673721481038
"Luis Amarilla","MIN",2022,"ST",2536,-0.07,-0.25,-0.17,-0.85,-0.49,-0.09,-1.92,650000,785000,0.399673721481038
"Gonzalo Higuaín","MIA",2022,"ST",1930,-0.65,-0.21,-0.02,0.03,-0.98,-0.12,-1.94,5.1e+06,5793750,0.396199347095736
"Matías Vera","HOU",2022,"DM",2376,-0.15,-0.18,-1.09,0.23,-0.5,-0.28,-1.96,550000,622812,0.392696953259666
"Jayden Nelson","TOR",2022,"W",2120,-0.31,0.13,-0.07,-1.01,-0.46,-0.3,-2.01,130000,136586,0.383815365980431
"Scott Caldwell","RSL",2022,"CM",1520,-0.29,-0.25,-0.26,-0.5,-0.47,-0.33,-2.09,2e+05,205000,0.369215857410143
"Aidan Morris","CLB",2022,"DM",2008,-0.54,0.05,-0.13,-0.85,-0.49,-0.15,-2.11,170000,172000,0.3654879848909
"Marco Farfan","FCD",2022,"FB",2975,-0.34,-0.27,-0.36,-0.71,-0.31,-0.12,-2.11,225000,225000,0.3654879848909
"Diego Fagundez","ATX",2022,"W",2952,-0.85,-0.19,-0.25,-0.12,-0.37,-0.44,-2.22,450000,450000,0.344392273685111
"Carlos Ferreira","HOU",2022,"ST",2521,0.21,-0.35,-0.28,-1.05,-0.62,-0.14,-2.22,1.6e+06,1970200,0.344392273685111
"Karol Swiderski","CLT",2022,"ST",2656,-1.13,-0.04,-0.33,-0.16,-0.79,0.17,-2.28,2.2e+06,2258000,0.332438459915605
"Russell Teibert","VAN",2022,"CM",2231,-0.66,-0.05,0.03,-0.68,-0.54,-0.42,-2.31,4e+05,449375,0.326335860928751
"Tommy McNamara","NER",2022,"DM",2670,-1.18,-0.67,0.6,-0.75,-0.33,-0.18,-2.5,240000,240000,0.285557309007774
"Ethan Finlay","ATX",2022,"W",2006,-0.31,-0.73,-0.62,-0.29,-0.19,-0.4,-2.54,350000,350000,0.276461804173244
"Maximiliano Urruti","ATX",2022,"ST",2363,-1.53,-0.3,0.93,0.05,-1.57,-0.15,-2.57,625000,661250,0.269512944217916
"Leon Flach","PHI",2022,"CM",3012,-0.29,-0.1,0.55,-1.09,-1.13,-0.64,-2.69,250000,263750,0.2405492482826
"Khiry Shelton","SKC",2022,"ST",1544,-0.73,-0.12,0.02,-0.1,-1.23,-0.67,-2.83,350000,350000,0.204119982655925
"Dario Zuparic","POR",2022,"CB",2455,-0.03,0.15,-1.72,-0.31,-0.6,-0.33,-2.85,375000,579200,0.198657086954423
"Miguel Berry","DCU, CLB",2022,"ST",1822,-1.33,-0.13,-0.4,-0.09,-0.69,-0.46,-3.1,120000,120000,0.123851640967086
"Remi Walter","SKC",2022,"DM",3246,-0.56,0.06,-0.53,-1.26,-0.73,-0.4,-3.42,8e+05,8e+05,0.00432137378264248
